asset_id,name,product_code,family,category,review_status,catalog_approved,filename,sha256,reference_offer,prompt_status
AI-5718e2ab687dc3b8,Wireless Mouse,PRODUCT_00A7D1FE671C2AF3B1E6,mouse,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_00A7D1FE671C2AF3B1E6-5718e2ab68.png,5718e2ab687dc3b856aed9b6ee3a84eb18bb16d6fef4f5f20a4b836a600dfafb,,not recovered
AI-a76dfd00854ad301,Umbrella,PRODUCT_01C7554D0239EC30D3B0,umbrella,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_01C7554D0239EC30D3B0-a76dfd0085.png,a76dfd00854ad301bf22f18dc6352ecd5edb72ce7329503522180de013d0307c,,recorded
AI-6378d7000174d708,Pen,PRODUCT_040A3998F55A7F74ACA5,pen,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_040A3998F55A7F74ACA5-6378d70001.png,6378d7000174d708f0b17212ab00f59e70f9aac7bbc9d1a0d490fade09481106,,recorded
AI-f98b6c0f9e7547c1,Wireless Earphone,PRODUCT_041F6E650AF07FAF0E08,earphone,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_041F6E650AF07FAF0E08-f98b6c0f9e.png,f98b6c0f9e7547c1dfbe6596a9c58896aa6254c7b408bf045b4f16f53b5c21ec,,recorded
AI-8c2ca8ea6f52aa34,Mouse,PRODUCT_045AD72D484CF3B5336F,mouse,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_045AD72D484CF3B5336F-8c2ca8ea6f.png,8c2ca8ea6f52aa3418da731a3278070275846fbc50453435052a31060e859a2c,,recorded
AI-007fcbd31a909007,Detachable Hand Warmer,PRODUCT_049B44C4D9ECF281A9E5,,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_049B44C4D9ECF281A9E5-007fcbd31a.png,007fcbd31a9090075ec8e0cc6ffe7d70425b82d2ff92d330b9ce4cbd18da548d,,recorded
AI-4dd8621df4c23765,Car Wireless Charging Mount,PRODUCT_05A8C06F06177FD4E632,charger,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_05A8C06F06177FD4E632-4dd8621df4.png,4dd8621df4c237650bd334fa657ea3a1474464b529d215202c24e5effcf2a786,,recorded
AI-24e7a9d4c038af7e,Elastic Band Notebook,PRODUCT_066DB717F5188EB545B5,notebook,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_066DB717F5188EB545B5-24e7a9d4c0.png,24e7a9d4c038af7e1fcadfcd53b274d05ac02b7c4d6490fb342dbd7fcdc6a1f7,,recorded
AI-e2ba5a7963ad1052,Mug,PRODUCT_0678405C488BD25EB28E,drinkware,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_0678405C488BD25EB28E-e2ba5a7963.png,e2ba5a7963ad1052f3134dd90ccbffc81bd5965ec6c7da497463c391886e3f16,,recorded
AI-be2421f1f0a43c59,Usb Flash Drive,PRODUCT_06EE4B838048E78EC2F9,usb_flash_drive,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_06EE4B838048E78EC2F9-be2421f1f0.png,be2421f1f0a43c59732891b00d8498c19a21d014f924d08b83c09afc4a24b130,,not recovered
