billing_no,billing_date,net_total,quotation_no,quotation_date,lag_days,quotation_status,customer_name,salesperson
BL2020000124,2020-11-12,331700.0,QT2020900566,2020-08-05,99,ดำเนินการแล้ว,บริษัท คอฟฟี่ คอนเซ็ปต์ รีเทล จำกัด,วรรณนภา ประจักษ์ทิพย์
BL2021000014,2021-02-11,19795.0,QT2021000082,2021-01-19,23,ดำเนินการแล้ว,บริษัท คอฟฟี่ คอนเซ็ปต์ รีเทล จำกัด,เจนจิรา มีดี
BL2021000123,2021-11-08,537675.0,QT2021000978,2021-08-17,83,ดำเนินการแล้ว,บริษัท คอฟฟี่ คอนเซ็ปต์ รีเทล จำกัด,เจนจิรา มีดี
BL2022000064,2022-05-11,19795.0,QT2022000181,2022-03-18,54,รออนุมัติ,บริษัท คอฟฟี่ คอนเซ็ปต์ รีเทล จำกัด,เจนจิรา มีดี
BL2022000191,2022-10-28,39590.0,QT2022000740,2022-09-26,32,ดำเนินการแล้ว,บริษัท คอฟฟี่ คอนเซ็ปต์ รีเทล จำกัด,เจนจิรา มีดี
BL2023000299,2023-11-20,39590.0,QT2023000925,2023-11-20,0,ดำเนินการแล้ว,"COFFEE CONCEPTS RETAIL CO.,LTD.",เจนจิรา มีดี
BL2025000167,2025-09-30,21935.0,QT2025000525,2025-08-20,41,ดำเนินการแล้ว,บริษัท คอฟฟี่ คอนเซ็ปต์ รีเทล จำกัด,เจนจิรา มีดี
BL2026000018,2026-02-21,465450.0,QT2025000705,2025-10-14,130,ดำเนินการแล้ว,"COFFEE CONCEPTS RETAIL CO.,LTD.",แอน ธิกุล
BL2026000032,2026-03-30,155150.0,QT2026000076,2026-01-28,61,ดำเนินการแล้ว,"COFFEE CONCEPTS RETAIL CO.,LTD.",แอน ธิกุล
BL2026000046,2026-05-12,39590.0,QT2026000259,2026-05-12,0,ดำเนินการแล้ว,บริษัท คอฟฟี่ คอนเซ็ปต์ รีเทล จำกัด,แอน ธิกุล
